idgrupo,Descripcion,Cuatrimestre
akQdTouY85tbGmco6,Bachillerato con Gastronomia,5
Y69uznqdmHjfcc23Q,Bachillerato Economico Administrativo- Historico Social,4
vqZhdQrP5ujN9JZkp,Bachillerato Economico Administrativo- Historico Social,1
eorwBc3o9YQAeoSMZ,Bachillerato Economico Administrativo- Historico Social,5
7QveiuSDCvyoDn2BG,Bachillerato Economico Administrativo- Historico Social,4
DcJRLBqrW89CdF5R7,Bachillerato Federal,2
FHeDiS7afncuj4rpn,Bachillerato Federal,2
drJReX3rZSnaBBwKo,Bachillerato Federal,6
QGDEgoX5Wao354Qeg,Bachillerato Federal,4
WSZPWkH25X3JLsMNb,Bachillerato Federal,4
G9GeRECM2aEaTSySw,Bachillerato Federal,1
EgmeeKEAFzD6Hrhwn,Bachillerato Federal,1
jE4FkdkuoS8qMK3Do,Bachillerato Federal,6
LJoPujdbFrDnwzoy2,Bachillerato Federal (MATUTINO),3
bYAxcRzDEJevxNEpj,Bachillerato Federal (MATUTINO),5
MipYCWKXSvcxvrNQs,Bachillerato Federal (MATUTINO),3
Bwa8bFML5Dr3dbabY,"Bachillerato Fisico-Matematico, Quimico-Biologico",1
XCva2rDcFxtNuNWYa,"Bachillerato Fisico-Matematico, Quimico-Biologico",2
4qdLAffRwjqA2KZKQ,"Bachillerato Fisico-Matematico, Quimico-Biologico",6
6inEPPADhTbnEQQZ4,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,4
7JLBCFzN8EWSLc3t4,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,5
PmS7NxfCTyNzv2kBX,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,2
N5zWu8TkqqBz9hTWp,Bachillerato General con Formacion para el Trabajo en Administracion,1
8jZsRyMCwaMSq5ENR,Bachillerato General con Formacion para el Trabajo en Administracion,6
WCc3z2RDEMhSpZkgc,Bachillerato General con Formacion para el Trabajo en Administracion,4
gPt68Pu9dEfspHvKi,Bachillerato General con Formacion para el Trabajo en Administracion,3
W575Npeeu2aiB5euP,Bachillerato General con Formacion para el Trabajo en Administracion,4
ZnSDe6hZmqgMthHvY,Bachillerato General con Formacion para el Trabajo en Administracion,2
Sx7Xr6ba5LsL3MXPJ,Bachillerato General con Formacion para el Trabajo en Administracion,4
7iCPo5gihZfc3GAPh,Bachillerato General con Formacion para el Trabajo en Administracion,3
